"record_number","project","record_id","date","loc_region","catch_site","catch_site_acc","lat","long","sex","f_w","f_tl","f_sl","f_hl","f_condition","o_picture","o_de","o_le","o_wi","o_td","o_we","o_side","o_condition","obs","o_obs"
73,"Baja","SG-SD-170803-01-B",2017-08-03,"US_Pacific","Carlsbad","High",33.157746,-117.361084,NA,NA,136,NA,35,"Eviscerated","YES",2.12,20.68,9.63,4.59,0.4395,"R","Fine",NA,"Fine"
76,"Baja","SG-SF-180623-01",2018-06-23,"Mx_GulfCA","San Felipe (El Coloradito)","High",30.584614,-114.63276,NA,34.56,122,101,30,"Whole","YES",2.18,19.87,9.87,5.09,0.3927,NA,"Fine",NA,"Fine"
4,"Baja","SG-TJ-170523-01",2017-05-23,"Mx_Pacific_Central","Bahía Tortugas","Low",27.607747,-114.871167,"Immature",2,53,NA,15,"Eviscerated","YES",1.4,12.57,5.85,2.15,0.0989,"L","Fine",NA,"Fine"
5,"Baja","SG-TJ-170523-02",2017-05-23,"Mx_Pacific_Central","Bahía Tortugas","Low",27.607747,-114.871167,"Immature",2.4,55,NA,16,"Eviscerated","YES",1.46,12.67,6.83,2.39,0.1137,"L","Fine",NA,"Fine"
6,"Baja","SG-TJ-170523-03",2017-05-23,"Mx_Pacific_Central","Bahía Tortugas","Low",27.607747,-114.871167,"Immature",2.4,54,NA,15,"Eviscerated","YES",1.76,12.47,7.12,2.66,0.1182,"L","Fine",NA,"Fine"
7,"Baja","SG-TJ-170523-04",2017-05-23,"Mx_Pacific_Central","Bahía Tortugas","Low",27.607747,-114.871167,"Immature",3.1,57,NA,16,"Eviscerated","YES",1.57,13.14,6.24,2.5,0.1149,"L","Fine",NA,"Fine"
8,"Baja","SG-TJ-170523-05",2017-05-23,"Mx_Pacific_Central","Bahía Tortugas","Low",27.607747,-114.871167,"Immature",2.3,53,NA,16,"Eviscerated","YES",1.34,12.89,5.91,2.27,0.1029,"L","Fine",NA,"Fine"
9,"Baja","SG-TJ-170523-06",2017-05-23,"Mx_Pacific_Central","Bahía Tortugas","Low",27.607747,-114.871167,"Immature",2.4,53,NA,13.5,"Eviscerated","YES",1.44,13.99,6.54,2.39,0.117,"L","Fine",NA,"Fine"
10,"Baja","SG-TJ-170523-07",2017-05-23,"Mx_Pacific_Central","Bahía Tortugas","Low",27.607747,-114.871167,"Immature",4.45,66,NA,18,"Eviscerated","YES",1.67,14.95,7.45,2.99,0.1442,"L","Fine",NA,"Fine"
20,"Baja","SG-TJ-170610-01",2017-06-10,"Mx_Pacific_Central","Laguna San Ignacio","Medium",26.559731,-113.084641,"Immature",2,51,NA,14,"Eviscerated","YES",1.24,13.57,5.55,1.83,0.0938,"L","Broken",NA,"broken tip"
21,"Baja","SG-TJ-170610-02",2017-06-10,"Mx_Pacific_Central","Laguna San Ignacio","Medium",26.559731,-113.084641,"Immature",9.8,86,NA,22,"Eviscerated","YES",1.89,17.66,7.11,3.5,0.193,"L","Fine",NA,"Fine"
22,"Baja","SG-TJ-170610-03",2017-06-10,"Mx_Pacific_Central","Laguna San Ignacio","Medium",26.559731,-113.084641,"Immature",5,72,NA,19,"Eviscerated","YES",1.46,14.12,7.39,2.81,0.1481,"R","Broken",NA,"missing tip"
23,"Baja","SG-TJ-170610-04",2017-06-10,"Mx_Pacific_Central","Laguna San Ignacio","Medium",26.559731,-113.084641,"Immature",1,30,NA,10,"Eviscerated","YES",1.1,9.25,4.9,1.51,0.0482,"L","Fine",NA,"Fine"
24,"Baja","SG-TJ-170610-05",2017-06-10,"Mx_Pacific_Central","Laguna San Ignacio","Medium",26.559731,-113.084641,"Immature",12,90,NA,25,"Eviscerated","YES",1.88,18.23,8.62,3.84,0.272,"L","Fine",NA,"Fine"
42,"Baja","SG-TJ-170723-01",2017-07-23,"Mx_Pacific_South","San Juanico (Golfo de Ulloa)","Medium",26.226831,-112.458331,"Immature",5.6,74,NA,19,"Eviscerated","YES",1.61,15.02,7.52,2.67,0.1596,NA,"Fine",NA,"Fine"
43,"Baja","SG-TJ-170723-02",2017-07-23,"Mx_Pacific_South","San Juanico (Golfo de Ulloa)","Medium",26.226831,-112.458331,"Immature",4.6,71,NA,18,"Eviscerated","NO",1.67,14.05,7.07,2.75,0.1449,NA,"Fine",NA,"Fine"
44,"Baja","SG-TJ-170723-03",2017-07-23,"Mx_Pacific_South","San Juanico (Golfo de Ulloa)","Medium",26.226831,-112.458331,"Immature",6.9,76,NA,20,"Eviscerated","YES",1.76,16.15,7.03,3.29,0.1623,NA,"Fine",NA,"Fine"
46,"Baja","SG-TJ-170804-01",2017-08-04,"Mx_Pacific_Central","El Datil","Medium",26.559731,-113.084641,"Immature",6.36,75,63,19,"Eviscerated","YES",1.58,14.14,7.3,2.97,0.1615,NA,"Fine",NA,"Fine"
47,"Baja","SG-TJ-170804-02",2017-08-04,"Mx_Pacific_Central","El Datil","Medium",26.559731,-113.084641,"Immature",6.38,78,66,19,"Eviscerated","YES",1.7,15.42,6.4,3.11,0.1589,NA,"Fine",NA,"Fine"
48,"Baja","SG-TJ-170804-03",2017-08-04,"Mx_Pacific_Central","El Datil","Medium",26.559731,-113.084641,"Immature",3.89,66,54,17,"Eviscerated","YES",1.45,15.68,6.72,2.66,0.1299,NA,"Fine",NA,"Fine"
49,"Baja","SG-TJ-170804-04",2017-08-04,"Mx_Pacific_Central","El Datil","Medium",26.559731,-113.084641,"Immature",1.18,44,35,12,"Eviscerated","YES",1.65,12.23,6.09,NA,0.0937,NA,"Fine",NA,"Fine"
57,"Baja","SG-TJ-170819-01",2017-08-19,"Mx_Pacific_Central","Guerrero Negro","Medium",28.029533,-114.339297,"Immature",7.79,84.5,71,23.01,"Eviscerated","YES",1.66,15.05,7.3,2.63,0.1752,NA,"Broken",NA,"Missing the tip/ just 1 left otolith"
58,"Baja","SG-TJ-170819-02",2017-08-19,"Mx_Pacific_Central","Guerrero Negro","Low",28.029533,-114.339297,"Immature",12.11,89,73,26,"Eviscerated","NO",1.79,17.76,7.84,NA,0.2463,NA,"Fine",NA,"Fine"
