"record_number","project","record_id","date","loc_region","catch_site","catch_site_acc","lat","long","sex","f_w","f_tl","f_sl","f_hl","f_condition","o_picture","o_de","o_le","o_wi","o_td","o_we","o_side","o_condition","obs","o_obs"
69,"Baja","SG-EN-170529-01",2017-05-29,"Mx_Pacific_Central","Guerrero Negro","Low",28.029533,-114.339297,NA,NA,NA,NA,50,"Head","YES",3.81,26.99,11.9,6.93,1.2252,"L","Fine","TL inferred from head length","Fine"
70,"Baja","SG-EN-170529-02",2017-05-29,"Mx_Pacific_Central","Guerrero Negro","Low",28.029533,-114.339297,NA,NA,NA,NA,50,"Head","YES",2.72,25.49,9.01,6.15,0.8233,"R","Fine","TL inferred from head length","Fine"
71,"Baja","SG-EN-170529-03",2017-05-29,"Mx_Pacific_Central","Guerrero Negro","Low",28.029533,-114.339297,NA,NA,NA,NA,41,"Head","YES",3.22,22.81,9.39,6.46,0.8495,"L","Fine","TL inferred from head length","Fine"
12,"Baja","SG-EN-170602-02",2017-06-02,"Mx_Pacific_Central","Guerrero Negro","Low",28.029533,-114.339297,NA,44,132,NA,32,"Eviscerated","YES",2.01,18.83,9.06,3.96,0.4306,"R","Broken",NA,"missing tip"
13,"Baja","SG-EN-170606-01",2017-06-06,"Mx_Pacific_Central","Laguna San Ignacio","Medium",26.559731,-113.084641,NA,117,195,NA,NA,"Head","YES",3.79,26.9,10,6.98,1.0094,"L","Fine",NA,"Fine"
74,"Baja","SG-EN-170606-01-B",2017-06-06,"Mx_Pacific_Central","Laguna San Ignacio","Medium",26.559731,-113.084641,NA,117,195,NA,NA,"Head","YES",4.03,26.63,9.89,6.43,0.9962,"R","Fine",NA,"Fine"
14,"Baja","SG-EN-170610-01",2017-06-10,"Mx_Pacific_Central","Guerrero Negro","Low",28.029533,-114.339297,"Immature",9,87,NA,23,"Eviscerated","YES",2.22,15.8,7.15,3.44,0.191,"L","Fine",NA,"Fine"
15,"Baja","SG-EN-170610-02",2017-06-10,"Mx_Pacific_Central","Guerrero Negro","Low",28.029533,-114.339297,NA,32,127,NA,33,"Eviscerated","YES",1.84,17.43,8.87,4.07,0.2865,"L","Fine",NA,"Fine"
16,"Baja","SG-EN-170610-03",2017-06-10,"Mx_Pacific_Central","Guerrero Negro","Low",28.029533,-114.339297,NA,48,144,NA,39,"Eviscerated","YES",2.04,19.64,8.8,5.2,0.4821,"L","Fine",NA,"Fine"
17,"Baja","SG-EN-170610-04",2017-06-10,"Mx_Pacific_Central","Guerrero Negro","Low",28.029533,-114.339297,NA,43,140,NA,38,"Eviscerated","YES",2.58,22.71,8.44,5.99,0.5162,"L","Fine",NA,"Fine"
72,"Baja","SG-EN-170610-04-B",2017-06-10,"Mx_Pacific_Central","Guerrero Negro","Low",28.029533,-114.339297,NA,43,140,NA,38,"Eviscerated","YES",2.22,21.02,9.12,5.32,0.5407,"R","Fine",NA,"Fine"
